Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2022-06,Green,"2,456","44,690","1,040","1,004",527,15.7,3.6,15.3,3.6,16.8,68%,-
2022-06,Yellow,"118,213","2,295,511","10,101","7,246","6,136",25.4,9.4,21.5,8.0,16.3,79%,-
2022-05,FHV - Black Car,"16,527",-,"7,361","7,202","3,029",13.0,4.1,13.0,4.1,28.0,-,-
2022-05,FHV - High Volume,"585,714",-,"73,287","71,059","47,877",20.9,6.6,20.6,6.5,20.0,-,-
2022-05,FHV - Livery,"22,631",-,"4,807","4,627","3,098",20.8,5.1,20.4,5.0,20.0,-,-
2022-05,FHV - Lux Limo,"1,265",-,"1,571","1,526",577,11.7,2.2,11.7,2.1,69.0,-,-
2022-05,Green,"2,482","44,927","1,065","1,027",531,16.1,3.6,15.6,3.5,16.7,68%,-
2022-05,Yellow,"115,896","2,244,884","9,977","7,150","5,961",25.8,9.3,21.6,8.0,16.4,79%,-
2022-04,FHV - Black Car,"18,597",-,"7,941","7,319","3,322",13.6,4.2,13.2,4.0,27.0,-,-
2022-04,FHV - High Volume,"591,746",-,"72,244","70,281","48,410",20.7,6.5,20.4,6.4,19.0,-,-
2022-04,FHV - Livery,"24,329",-,"5,056","4,877","3,299",20.3,5.2,20.0,5.1,19.0,-,-
2022-04,FHV - Lux Limo,"1,451",-,"1,610","1,552",638,12.3,2.3,12.2,2.2,67.0,-,-
2022-04,Green,"2,537","43,601","1,057","1,027",546,16.0,3.5,15.7,3.5,15.9,67%,-
2022-04,Yellow,"119,627","2,219,111","9,560","7,053","5,975",25.4,9.4,21.9,8.0,15.4,79%,-
2022-03,FHV - Black Car,"17,453",-,"7,008","6,909","3,191",14.3,4.1,14.3,4.1,27.0,-,-
2022-03,FHV - High Volume,"595,270",-,"71,667","69,702","48,364",21.5,6.7,21.2,6.6,18.0,-,-
2022-03,FHV - Livery,"26,269",-,"5,355","5,186","3,495",20.9,5.3,20.7,5.2,18.0,-,-
2022-03,FHV - Lux Limo,"1,405",-,"1,501","1,445",627,13.5,2.2,13.4,2.2,65.0,-,-
2022-03,Green,"2,532","42,458","1,133","1,104",553,15.5,3.5,15.4,3.4,15.4,66%,-
2022-03,Yellow,"116,628","2,097,319","9,535","6,984","5,907",26.2,9.4,22.3,8.1,14.8,79%,-
2022-02,FHV - Black Car,"17,521",-,"7,336","7,265","3,208",12.4,4.1,12.4,4.1,26.0,-,-
2022-02,FHV - High Volume,"572,114",-,"68,998","67,536","46,279",19.2,6.6,19.0,6.5,18.0,-,-
2022-02,FHV - Livery,"26,237",-,"5,453","5,299","3,548",18.8,5.2,18.6,5.1,18.0,-,-
2022-02,FHV - Lux Limo,"1,267",-,"1,473","1,416",597,11.8,2.1,11.6,2.1,64.0,-,-
2022-02,Green,"2,478","40,483","1,121","1,085",565,14.6,3.4,14.3,3.3,15.1,65%,-
2022-02,Yellow,"106,036","1,805,858","8,989","6,734","5,591",23.2,9.1,20.1,7.9,14.0,80%,-
2022-01,FHV - Black Car,"13,440",-,"7,171","7,136","2,625",11.4,3.9,11.5,3.9,24.0,-,-
2022-01,FHV - High Volume,"475,854",-,"68,531","66,855","41,326",19.2,6.3,18.9,6.2,17.0,-,-
2022-01,FHV - Livery,"22,633",-,"5,581","5,470","3,192",18.1,5.0,18.0,4.9,16.0,-,-
2022-01,FHV - Lux Limo,763,-,"1,243","1,206",407,10.5,1.9,10.5,1.8,61.0,-,-
2022-01,Green,"2,016","32,513","1,162","1,136",523,14.3,3.1,14.2,3.0,14.3,64%,-
2022-01,Yellow,"79,212","1,330,576","8,803","6,653","4,989",23.3,8.2,20.0,7.2,12.7,78%,-
2021-12,FHV - Black Car,"15,731",-,"7,658","7,579","2,990",12.2,4.0,12.2,4.0,27.0,-,-
2021-12,FHV - High Volume,"517,884",-,"70,302","68,257","44,289",20.1,6.4,19.8,6.3,18.0,-,-
2021-12,FHV - Livery,"26,315",-,"5,556","5,382","3,566",20.5,5.1,20.2,5.1,18.0,-,-
2021-12,FHV - Lux Limo,"1,099",-,"1,516","1,447",510,10.9,2.1,10.7,2.1,67.0,-,-
2021-12,Green,"3,223","70,839","1,299","1,232",705,17.8,3.6,17.1,3.6,19.5,69%,-
2021-12,Yellow,"103,586","1,903,868","9,552","6,908","5,657",25.4,9.0,21.5,7.7,15.2,76%,-
2021-11,FHV - Black Car,"12,168",-,"5,115","4,985","2,294",13.8,4.0,13.7,4.0,27.0,-,-
2021-11,FHV - High Volume,"534,718",-,"69,410","67,433","44,979",20.0,6.5,19.7,6.4,19.0,-,-
2021-11,FHV - Livery,"26,927",-,"5,595","5,431","3,534",19.5,5.0,19.3,4.9,20.0,-,-
2021-11,FHV - Lux Limo,"1,376",-,"1,537","1,455",603,12.4,2.3,12.2,2.2,68.0,-,-
2021-11,Green,"3,607","82,075","1,311","1,269",741,17.5,3.9,17.2,3.8,20.6,72%,-
2021-11,Yellow,"115,660","2,103,000","9,516","6,810","5,763",25.4,9.5,21.3,8.2,15.3,78%,-
2021-10,FHV - Black Car,"12,216",-,"5,340","5,210","2,297",13.7,4.0,13.6,4.0,28.0,-,-
2021-10,FHV - High Volume,"533,649",-,"68,927","66,935","44,408",20.6,6.6,20.3,6.5,19.0,-,277
2021-10,FHV - Livery,"26,619",-,"5,664","5,465","3,482",19.8,5.0,19.5,5.0,20.0,-,-
2021-10,FHV - Lux Limo,"1,203",-,"1,452","1,395",554,12.3,2.1,11.9,2.1,69.0,-,-
2021-10,Green,"3,574","82,092","1,311","1,251",736,18.3,3.9,17.6,3.8,21.0,73%,-
2021-10,Yellow,"111,643","1,993,304","9,154","6,600","5,555",26.1,9.5,21.7,8.2,15.1,79%,-
2021-09,FHV - Black Car,"11,874",-,"5,009","4,899","2,129",13.0,4.1,12.9,4.1,28.0,-,-
2021-09,FHV - High Volume,"496,112",-,"65,996","64,572","40,404",18.8,6.6,18.6,6.5,19.0,-,834
2021-09,FHV - Livery,"25,476",-,"5,584","5,441","3,374",18.6,5.0,18.4,4.9,20.0,-,-
2021-09,FHV - Lux Limo,"1,052",-,"1,396","1,321",496,11.3,2.1,10.9,2.0,73.0,-,-
2021-09,Green,"3,190","77,260","1,216","1,173",640,16.4,4.0,15.9,3.9,21.5,73%,-
2021-09,Yellow,"98,723","1,826,376","8,502","6,218","5,069",24.5,9.0,19.9,8.1,15.2,78%,-
2021-08,FHV - Black Car,"11,562",-,"4,529","4,463","1,956",13.6,4.3,13.5,4.3,26.0,-,-
2021-08,FHV - High Volume,"467,654",-,"59,816","58,754","35,257",18.6,6.7,18.5,6.7,18.0,-,723
2021-08,FHV - Livery,"28,195",-,"5,457","5,349","3,376",19.6,5.2,19.5,5.2,19.0,-,-
2021-08,FHV - Lux Limo,740,-,"1,157","1,115",381,10.6,1.9,10.4,1.9,72.0,-,-
2021-08,Green,"2,693","63,669",944,926,509,17.1,4.1,16.9,4.1,20.0,75%,-
2021-08,Yellow,"89,924","1,612,966","7,471","5,888","4,700",24.7,8.8,21.1,8.2,13.9,76%,-
2021-07,FHV - Black Car,"12,142",-,"4,601","4,585","2,023",13.7,4.4,13.7,4.4,25.0,-,-
2021-07,FHV - High Volume,"484,745",-,"59,733","58,607","36,036",19.1,6.8,18.9,6.7,18.0,-,635
2021-07,FHV - Livery,"29,022",-,"5,599","5,491","3,491",19.7,5.2,19.6,5.1,18.0,-,-
2021-07,FHV - Lux Limo,734,-,"1,213","1,195",380,9.9,1.9,9.8,1.9,71.0,-,-
2021-07,Green,"2,698","63,047",983,950,508,16.6,4.1,16.2,4.1,20.1,74%,-
2021-07,Yellow,"91,012","1,605,064","7,350","5,782","4,631",24.8,8.9,21.1,8.3,13.9,76%,-
2021-06,FHV - Black Car,"14,228",-,"4,697","4,685","2,294",14.7,4.5,14.7,4.5,25.0,-,-
2021-06,FHV - High Volume,"498,685",-,"58,802","57,863","36,925",19.1,6.9,19.0,6.9,19.0,-,124
2021-06,FHV - Livery,"29,578",-,"6,037","5,921","3,741",19.0,5.0,18.8,5.0,19.0,-,-
2021-06,FHV - Lux Limo,932,-,"1,190","1,161",440,11.4,2.1,11.3,2.1,71.0,-,-
2021-06,Green,"2,891","65,832","1,001",975,531,16.3,4.2,16.1,4.2,20.5,74%,-
2021-06,Yellow,"94,462","1,623,722","7,089","5,646","4,577",24.3,9.1,20.9,8.5,14.1,77%,-
2021-05,FHV - Black Car,"13,244",-,"4,389","4,372","2,106",14.9,4.6,15.0,4.6,24.0,-,-
2021-05,FHV - High Volume,"474,809",-,"56,874","56,112","34,404",19.0,6.9,18.9,6.9,18.0,-,149
2021-05,FHV - Livery,"28,073",-,"5,380","5,292","3,384",19.8,5.2,19.8,5.2,18.0,-,-
2021-05,FHV - Lux Limo,742,-,984,928,350,11.7,2.1,11.2,2.1,67.0,-,-
2021-05,Green,"2,843","65,571",980,952,517,16.8,4.3,16.5,4.2,20.0,77%,-
2021-05,Yellow,"80,862","1,355,888","6,587","5,238","4,113",24.3,8.8,20.6,8.2,13.4,77%,-
2021-04,FHV - Black Car,"13,781",-,"4,454","4,454","2,235",15.1,4.6,15.1,4.6,24.0,-,-
2021-04,FHV - High Volume,"470,377",-,"54,487","53,748","33,360",18.6,7.0,18.5,6.9,17.0,-,235
2021-04,FHV - Livery,"28,912",-,"5,484","5,359","3,435",19.2,5.3,19.1,5.2,18.0,-,-
2021-04,FHV - Lux Limo,753,-,"1,008",971,367,11.4,2.0,11.2,2.0,60.0,-,-
2021-04,Green,"2,897","67,893",954,928,515,16.7,4.4,16.4,4.3,20.1,78%,-
2021-04,Yellow,"71,986","1,182,845","6,102","4,924","3,889",23.7,8.6,20.2,8.1,13.0,77%,-
2021-03,FHV - Black Car,"13,226",-,"4,084","4,079","2,085",15.8,4.6,15.9,4.6,23.0,-,-
2021-03,FHV - High Volume,"458,946",-,"52,123","51,761","31,639",18.9,7.1,19.0,7.0,17.0,-,167
2021-03,FHV - Livery,"29,605",-,"5,498","5,389","3,506",20.2,5.4,20.1,5.3,17.0,-,-
2021-03,FHV - Lux Limo,715,-,911,903,346,11.9,2.0,12.0,2.0,55.0,-,-
2021-03,Green,"2,703","62,416",952,932,483,16.1,4.4,15.9,4.4,18.9,79%,-
2021-03,Yellow,"61,643","979,152","5,765","4,719","3,652",24.0,8.3,20.6,7.9,12.3,76%,-
2021-02,FHV - Black Car,"11,157",-,"3,686","3,683","1,791",13.6,4.6,13.6,4.6,23.0,-,-
2021-02,FHV - High Volume,"414,782",-,"47,208","47,272","28,639",17.0,7.1,17.1,7.1,16.0,-,48
2021-02,FHV - Livery,"25,292",-,"5,128","5,041","3,069",17.1,5.3,17.0,5.2,17.0,-,-
2021-02,FHV - Lux Limo,600,-,814,805,284,9.9,2.1,10.0,2.0,54.0,-,-
2021-02,Green,"2,305","52,276",904,881,446,14.2,4.1,13.9,4.1,18.8,79%,-
2021-02,Yellow,"48,499","755,111","5,276","4,496","3,182",19.8,7.9,17.6,7.6,12.4,76%,-
2021-01,FHV - Black Car,"11,164",-,"4,078","4,072","1,881",14.3,4.4,14.3,4.4,22.0,-,-
2021-01,FHV - High Volume,"383,951",-,"47,623","47,594","28,584",18.6,6.9,18.7,6.8,15.0,-,38
2021-01,FHV - Livery,"25,157",-,"5,384","5,287","3,256",19.1,5.1,19.0,5.1,15.0,-,-
2021-01,FHV - Lux Limo,529,-,793,769,265,10.7,2.0,10.6,1.9,50.0,-,-
2021-01,Green,"2,467","56,409",991,982,491,15.5,4.1,15.5,4.0,17.4,79%,-
2021-01,Yellow,"44,052","688,808","5,396","4,625","3,256",21.8,7.5,19.4,7.3,11.6,75%,-
2020-12,FHV - Black Car,"11,359",-,"4,247","4,223","1,932",14.2,4.5,14.1,4.4,22.0,-,-
2020-12,FHV - High Volume,"375,389",-,"51,535","51,548","32,500",19.5,6.5,19.7,6.5,16.0,-,32
2020-12,FHV - Livery,"24,857",-,"5,597","5,489","3,354",18.9,5.0,18.8,5.0,16.0,-,-
2020-12,FHV - Lux Limo,537,-,823,796,266,10.4,2.0,10.2,2.0,54.0,-,-
2020-12,Green,"2,681","60,329","1,095","1,087",560,16.0,3.9,16.0,3.9,18.1,76%,-
2020-12,Yellow,"47,143","744,814","6,092","5,142","3,757",22.7,7.4,19.8,7.1,12.4,74%,-
2020-11,FHV - Black Car,"12,454",-,"4,608","4,607","2,117",13.8,4.5,13.8,4.5,23.0,-,-
2020-11,FHV - High Volume,"386,560",-,"53,018","52,960","34,090",19.3,6.4,19.5,6.4,16.0,-,36
2020-11,FHV - Livery,"25,639",-,"5,568","5,486","3,482",19.0,5.0,19.0,4.9,16.0,-,-
2020-11,FHV - Lux Limo,490,-,755,734,246,10.1,2.0,10.0,1.9,59.0,-,-
2020-11,Green,"2,953","66,502","1,137","1,106",610,16.6,4.0,16.4,3.9,18.2,77%,-
2020-11,Yellow,"50,286","786,221","6,315","5,209","3,868",22.3,7.5,19.2,7.2,12.4,75%,-
2020-10,FHV - Black Car,"12,540",-,"4,620","4,598","2,183",14.7,4.4,14.7,4.4,24.0,-,-
2020-10,FHV - High Volume,"427,396",-,"52,379","52,290","33,969",20.1,6.8,20.3,6.7,17.0,-,47
2020-10,FHV - Livery,"27,559",-,"5,891","5,766","3,636",19.6,5.1,19.5,5.0,17.0,-,-
2020-10,FHV - Lux Limo,567,-,889,868,286,10.2,2.0,10.2,1.9,61.0,-,-
2020-10,Green,"3,067","68,558","1,137","1,117",605,16.8,4.1,16.7,4.1,18.4,76%,-
2020-10,Yellow,"54,218","880,037","6,144","5,092","3,728",22.7,8.0,19.7,7.6,12.6,75%,-
2020-09,FHV - Black Car,"13,146",-,"4,650","4,654","2,221",14.3,4.6,14.4,4.5,25.0,-,-
2020-09,FHV - High Volume,"403,096",-,"50,594","50,391","31,535",18.8,6.8,18.9,6.8,17.0,-,32
2020-09,FHV - Livery,"26,230",-,"5,478","5,350","3,427",19.2,5.1,19.0,5.1,17.0,-,-
2020-09,FHV - Lux Limo,527,-,805,779,258,10.0,2.0,9.8,2.0,62.0,-,-
2020-09,Green,"2,932","66,854","1,123","1,100",575,15.7,4.1,15.5,4.1,18.6,75%,-
2020-09,Yellow,"44,686","708,390","5,707","4,914","3,258",19.9,7.6,17.8,7.3,12.6,73%,-
2020-08,FHV - Black Car,"9,723",-,"3,838","3,856","1,673",13.5,4.4,13.5,4.4,24.0,-,-
2020-08,FHV - High Volume,"357,610",-,"48,984","48,680","28,731",18.3,6.7,18.4,6.6,17.0,-,10
2020-08,FHV - Livery,"25,507",-,"5,405","5,291","3,263",19.1,5.2,19.0,5.1,17.0,-,-
2020-08,FHV - Lux Limo,449,-,694,691,207,9.3,2.1,9.4,2.1,56.0,-,-
2020-08,Green,"2,614","62,689","1,143","1,128",545,15.0,4.0,15.0,3.9,18.7,73%,-
2020-08,Yellow,"32,492","548,766","5,373","4,759","2,790",18.2,6.9,16.7,6.6,12.6,70%,-
2020-07,FHV - Black Car,"8,692",-,"3,113","3,128","1,446",14.3,4.6,14.4,4.6,25.0,-,-
2020-07,FHV - High Volume,"320,999",-,"38,310","38,380","21,221",17.1,7.2,17.3,7.2,16.0,-,3
2020-07,FHV - Livery,"23,110",-,"4,473","4,318","2,760",19.8,5.5,19.4,5.4,17.0,-,-
2020-07,FHV - Lux Limo,436,-,597,567,186,10.2,2.3,9.8,2.3,52.0,-,-
2020-07,Green,"2,330","54,821",936,924,430,14.4,4.3,14.4,4.2,18.1,72%,-
2020-07,Yellow,"25,819","439,016","3,991","3,806","1,952",15.9,7.1,15.7,6.8,12.5,69%,-
2020-06,FHV - Black Car,"9,323",-,"3,157","3,165","1,533",14.5,4.6,14.6,4.6,22.0,-,-
2020-06,FHV - High Volume,"251,696",-,"29,832","30,131","17,665",17.6,7.1,17.9,7.0,16.0,-,-
2020-06,FHV - Livery,"22,723",-,"4,250","4,192","2,770",19.8,5.3,19.8,5.3,16.0,-,-
2020-06,FHV - Lux Limo,315,-,447,431,141,9.9,2.2,9.7,2.1,51.0,-,-
2020-06,Green,"2,103","46,850",856,850,408,14.4,4.1,14.5,4.0,17.5,71%,-
2020-06,Yellow,"18,326","314,473","2,970","2,966","1,554",15.7,6.7,16.2,6.5,12.4,67%,-
2020-05,FHV - Black Car,"6,180",-,"2,851","2,861","1,186",12.9,4.1,12.9,4.1,20.0,-,-
2020-05,FHV - High Volume,"196,447",-,"27,675","27,881","16,073",17.9,6.4,18.1,6.4,15.0,-,-
2020-05,FHV - Livery,"17,042",-,"3,874","3,838","2,329",18.8,4.9,18.9,4.9,14.0,-,-
2020-05,FHV - Lux Limo,191,-,343,344,96,8.7,2.0,8.7,1.9,47.0,-,-
2020-05,Green,"1,850","38,441",830,819,405,15.3,3.7,15.3,3.7,16.5,72%,-
2020-05,Yellow,"11,237","206,544","2,606","2,613","1,298",15.4,5.7,15.9,5.6,11.9,66%,-
2020-04,FHV - Black Car,"5,103",-,"2,413","2,425",982,12.2,4.1,12.2,4.1,19.0,-,-
2020-04,FHV - High Volume,"143,762",-,"22,390","22,527","11,544",15.4,6.1,15.6,6.1,13.0,-,-
2020-04,FHV - Livery,"10,719",-,"2,816","2,794","1,447",15.5,5.1,15.6,5.0,13.0,-,-
2020-04,FHV - Lux Limo,148,-,319,337,75,6.7,1.9,7.1,1.9,48.0,-,-
2020-04,Green,"1,187","22,524",669,669,278,12.5,3.4,12.6,3.4,14.5,65%,-
2020-04,Yellow,"7,931","119,152","2,212","2,196",983,13.4,5.3,13.8,5.1,9.9,63%,-
2020-03,FHV - Black Car,"13,708",-,"8,345","8,342","2,917",10.8,3.8,10.9,3.8,24.0,-,-
2020-03,FHV - High Volume,"432,027",-,"76,604","75,506","35,735",14.7,6.1,14.6,6.0,16.0,-,"41,051"
2020-03,FHV - Livery,"25,153",-,"7,553","7,315","3,689",15.6,5.0,15.4,4.9,16.0,-,-
2020-03,FHV - Lux Limo,"1,060",-,"2,194","2,063",531,8.0,2.0,7.8,1.9,61.0,-,-
2020-03,Green,"7,208","114,041","2,692","2,560","1,248",15.1,4.4,14.7,4.3,15.2,62%,-
2020-03,Yellow,"97,004","1,620,621","19,065","11,318","6,162",16.9,8.8,13.2,6.7,13.0,74%,-
2020-02,FHV - Black Car,"20,412",-,"8,415","8,403","4,238",14.6,3.9,14.7,3.9,27.0,-,-
2020-02,FHV - High Volume,"749,129",-,"79,282","78,090","55,139",20.5,6.6,20.5,6.5,17.0,-,"97,117"
2020-02,FHV - Livery,"34,822",-,"7,227","6,969","4,864",20.2,5.3,19.9,5.2,17.0,-,-
2020-02,FHV - Lux Limo,"2,472",-,"2,472","2,343","1,071",13.3,2.3,13.1,2.2,63.0,-,-
2020-02,Green,"13,743","240,816","2,844","2,675","2,006",21.8,5.0,20.9,4.9,15.4,44%,-
2020-02,Yellow,"217,216","3,556,087","20,123","11,418","10,349",26.3,10.8,20.9,7.7,13.5,74%,-
2020-01,FHV - Black Car,"22,982",-,"8,869","8,882","4,539",15.8,4.0,15.9,4.0,25.0,-,-
2020-01,FHV - High Volume,"663,524",-,"80,726","79,289","53,607",21.0,6.2,20.9,6.1,17.0,-,"90,559"
2020-01,FHV - Livery,"37,306",-,"8,116","7,861","5,249",20.7,5.2,20.4,5.1,17.0,-,-
2020-01,FHV - Lux Limo,"2,474",-,"2,595","2,575","1,103",13.3,2.2,13.6,2.2,61.0,-,-
2020-01,Green,"13,446","236,992","2,876","2,703","1,997",22.9,5.0,22.0,4.9,15.3,44%,-
2020-01,Yellow,"206,604","3,403,736","20,131","11,435","10,080",27.3,10.5,21.7,7.5,13.1,73%,-
2019-12,FHV - Black Car,"20,184",-,"8,331","8,304","4,066",15.2,3.9,15.2,3.9,28.0,-,-
2019-12,FHV - High Volume,"717,517",-,"82,528","80,925","55,797",21.4,6.5,21.3,6.4,18.0,-,"93,421"
2019-12,FHV - Livery,"41,272",-,"8,297","8,049","5,544",21.4,5.3,21.1,5.2,18.0,-,-
2019-12,FHV - Lux Limo,"2,736",-,"2,771","2,724","1,144",13.0,2.4,13.1,2.3,71.0,-,-
2019-12,Green,"11,598","162,078","2,904","2,731","1,834",20.8,4.4,20.0,4.4,13.6,53%,-
2019-12,Yellow,"220,786","3,806,944","20,829","11,478","10,260",27.7,10.7,21.7,7.5,15.0,71%,-
2019-11,FHV - Black Car,"16,612",-,"7,237","7,219","3,645",15.2,3.7,15.2,3.7,28.0,-,-
2019-11,FHV - High Volume,"721,170",-,"83,017","81,286","57,241",21.1,6.5,21.0,6.4,19.0,-,"103,379"
2019-11,FHV - Livery,"35,889",-,"7,524","7,293","5,086",20.9,5.2,20.7,5.1,18.0,-,-
2019-11,FHV - Lux Limo,"2,017",-,"1,853","1,776",835,14.1,2.4,14.0,2.3,67.0,-,-
2019-11,Green,"12,068","170,328","2,969","2,781","1,904",20.5,4.5,19.7,4.4,13.8,55%,-
2019-11,Yellow,"227,654","3,872,769","20,934","11,431","10,441",27.4,11.0,21.7,7.6,14.8,73%,-
2019-10,FHV - Black Car,"16,245",-,"7,120","7,071","3,757",16.5,3.6,16.4,3.6,29.0,-,-
2019-10,FHV - High Volume,"682,635",-,"83,865","82,051","57,764",21.8,6.4,21.7,6.3,19.0,-,"107,676"
2019-10,FHV - Livery,"38,855",-,"8,217","7,920","5,503",21.5,5.2,21.2,5.1,18.0,-,-
2019-10,FHV - Lux Limo,"3,105",-,"2,682","2,530","1,256",15.4,2.4,15.1,2.4,69.0,-,-
2019-10,Green,"12,470","178,014","3,004","2,818","1,990",21.9,4.5,21.0,4.4,14.0,56%,-
2019-10,Yellow,"231,171","4,006,128","20,880","11,380","10,476",28.5,11.2,22.5,7.7,15.1,73%,-
2019-09,FHV - Black Car,"12,373",-,"5,499","5,417","2,846",15.8,3.5,15.6,3.5,32.0,-,-
2019-09,FHV - High Volume,"668,520",-,"84,306","82,206","56,795",20.7,6.4,20.5,6.2,19.0,-,"107,780"
2019-09,FHV - Livery,"19,312",-,"4,183","3,979","2,633",19.9,5.3,19.2,5.2,21.0,-,-
2019-09,FHV - Lux Limo,"2,739",-,"2,522","2,402","1,098",13.7,2.5,13.5,2.4,75.0,-,-
2019-09,Green,"12,985","190,621","3,033","2,856","2,048",21.5,4.6,20.6,4.5,14.3,55%,-
2019-09,Yellow,"217,747","3,814,692","20,369","11,302","10,066",26.7,10.9,21.0,7.7,16.0,72%,-
2019-08,FHV - Black Car,"12,787",-,"5,874","5,845","2,964",15.7,3.4,15.7,3.4,32.0,-,-
2019-08,FHV - High Volume,"648,961",-,"83,709","82,693","55,289",20.8,6.3,20.8,6.2,18.0,-,"104,983"
2019-08,FHV - Livery,"38,815",-,"8,104","7,824","5,441",21.6,5.3,21.3,5.2,18.0,-,-
2019-08,FHV - Lux Limo,"2,099",-,"2,389","2,311",969,13.0,2.1,12.9,2.1,73.0,-,-
2019-08,Green,"12,866","188,318","3,033","2,841","2,011",22.0,4.6,20.9,4.6,13.9,54%,-
2019-08,Yellow,"194,798","3,385,162","19,583","11,237","9,741",26.9,10.4,21.4,7.5,14.3,70%,-
2019-07,FHV - Black Car,"13,993",-,"5,995","5,968","2,914",15.1,3.7,15.1,3.7,29.0,-,-
2019-07,FHV - High Volume,"654,230",-,"85,896","84,609","57,048",21.0,6.2,20.9,6.1,18.0,-,"104,074"
2019-07,FHV - Livery,"41,492",-,"8,474","8,150","5,682",21.6,5.3,21.3,5.2,18.0,-,-
2019-07,FHV - Lux Limo,"2,013",-,"2,105","2,013",881,13.6,2.3,13.4,2.2,73.0,-,-
2019-07,Green,"13,969","205,934","3,179","2,985","2,125",22.1,4.7,21.1,4.6,14.2,55%,-
2019-07,Yellow,"202,443","3,501,565","20,206","11,366","9,894",27.0,10.5,21.4,7.5,14.5,70%,-
2019-06,FHV - Black Car,"14,233",-,"5,876","5,858","2,988",15.3,3.7,15.3,3.7,29.0,-,-
2019-06,FHV - High Volume,"700,036",-,"87,131","85,712","58,847",20.7,6.3,20.6,5.8,19.0,-,"101,645"
2019-06,FHV - Livery,"43,938",-,"8,569","8,224","5,856",21.4,5.4,21.1,5.3,18.0,-,-
2019-06,FHV - Lux Limo,"2,276",-,"2,124","2,140",993,13.9,2.3,14.1,2.3,71.0,-,-
2019-06,Green,"15,690","235,578","3,292","3,080","2,216",21.6,5.0,20.7,4.8,15.0,55%,-
2019-06,Yellow,"231,335","4,042,788","20,728","11,533","10,274",26.7,11.0,21.3,7.7,15.1,72%,-
2019-05,FHV - Black Car,"16,186",-,"6,211","6,171","3,237",16.3,3.9,16.2,3.8,27.0,-,-
2019-05,FHV - High Volume,"720,263",-,"87,719","86,391","59,902",21.6,6.2,21.5,6.2,19.0,-,"124,106"
2019-05,FHV - Livery,"44,781",-,"8,581","8,228","5,868",22.1,5.5,21.7,5.3,17.0,-,-
2019-05,FHV - Lux Limo,"2,657",-,"2,245","2,256","1,100",15.1,2.4,15.1,2.4,70.0,-,-
2019-05,Green,"16,248","243,583","3,393","3,170","2,351",23.0,4.8,22.0,4.7,15.1,56%,-
2019-05,Yellow,"244,017","4,214,808","21,042","11,689","10,494",27.8,11.2,22.3,7.7,14.9,72%,-
2019-04,FHV - Black Car,"15,660",-,"5,824","5,795","3,126",16.2,3.9,16.2,3.8,27.0,-,-
2019-04,FHV - High Volume,"724,388",-,"87,779","86,463","59,121",20.6,6.3,20.5,6.2,19.0,-,"141,734"
2019-04,FHV - Livery,"44,846",-,"8,469","8,175","5,844",21.4,5.5,21.1,5.4,17.0,-,-
2019-04,FHV - Lux Limo,"2,584",-,"2,374","2,391","1,118",14.0,2.3,14.1,2.3,67.0,-,-
2019-04,Green,"17,080","249,506","3,508","3,249","2,423",22.4,4.9,21.2,4.8,14.3,56%,-
2019-04,Yellow,"247,742","4,215,927","21,595","11,786","10,674",27.2,11.3,21.4,7.8,14.3,72%,-
2019-03,FHV - Black Car,"8,778",-,"4,513","4,498","1,916",13.2,3.5,13.3,3.5,23.0,-,-
2019-03,FHV - High Volume,"769,729",-,"87,695","86,540","59,893",21.6,6.4,21.5,6.4,19.0,-,"157,704"
2019-03,FHV - Livery,"32,099",-,"8,216","7,918","4,737",18.5,4.9,18.3,4.8,17.0,-,-
2019-03,FHV - Lux Limo,"1,513",-,"1,786","1,799",698,12.0,2.1,12.0,2.1,62.0,-,-
2019-03,Green,"19,318","305,302","3,586","3,296","2,524",23.7,5.4,22.3,5.2,15.8,60%,-
2019-03,Yellow,"252,634","4,289,036","21,956","11,912","10,814",28.1,11.4,22.3,7.9,14.1,73%,-
2019-02,FHV - Black Car,"13,692",-,"5,129","5,103","2,811",15.4,3.8,15.4,3.8,28.0,-,-
2019-02,FHV - High Volume,"719,853",-,"86,296","85,403","58,980",19.5,6.3,19.4,6.2,18.0,-,"171,912"
2019-02,FHV - Livery,"44,638",-,"8,776","8,440","5,992",19.9,5.4,19.6,5.3,17.0,-,-
2019-02,FHV - Lux Limo,"2,467",-,"2,147","2,142","1,034",13.5,2.4,13.6,2.3,65.0,-,-
2019-02,Green,"20,481","325,509","3,626","3,385","2,651",21.9,5.4,20.9,5.3,15.7,62%,-
2019-02,Yellow,"250,654","4,105,322","21,733","11,895","10,770",25.4,11.3,20.1,7.8,13.6,74%,-
2019-01,FHV - Black Car,"15,024",-,"6,111","6,072","3,156",16.1,3.7,16.1,3.7,27.0,-,104
2019-01,FHV - High Volume,"683,692",-,"86,715","84,698","56,530",20.7,6.2,20.5,6.1,18.0,-,"157,678"
2019-01,FHV - Livery,"41,974",-,"8,717","8,368","5,834",21.6,5.3,21.1,5.2,17.0,-,30
