Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2024-12,FHV - Livery,"35,568",-,"9,282","9,153","5,342",18.1,4.9,18.2,4.8,19.0,-,-
2024-12,FHV - Lux Limo,"1,137",-,"1,817","1,760",568,10.0,2.0,10.0,1.9,68.0,-,-
2024-12,Green,"1,701","36,402",696,664,379,17.7,3.6,17.1,3.5,15.1,74%,-
2024-12,Yellow,"116,820","2,909,033","13,001","9,471","8,336",27.3,8.1,23.1,7.0,17.7,83%,-
2024-11,FHV - Black Car,"29,082",-,"11,375","11,078","4,841",13.1,4.7,13.1,4.6,27.0,-,-
2024-11,FHV - High Volume,"666,250",-,"82,674","81,836","58,715",21.5,6.5,21.6,6.4,20.0,-,"12,005"
2024-11,FHV - Livery,"35,755",-,"9,868","9,719","5,735",17.7,4.7,17.8,4.6,20.0,-,-
2024-11,FHV - Lux Limo,"1,228",-,"1,834","1,820",634,10.5,1.9,10.7,1.9,67.0,-,-
2024-11,Green,"1,740","37,729",698,663,386,17.5,3.6,16.9,3.6,15.0,74%,-
2024-11,Yellow,"120,183","2,918,933","12,957","9,430","8,395",26.7,8.3,22.8,7.1,16.8,84%,-
2024-10,FHV - Black Car,"25,737",-,"11,498","11,160","4,563",12.7,4.5,12.7,4.4,27.0,-,-
2024-10,FHV - High Volume,"646,072",-,"82,793","81,962","59,066",22.3,6.5,22.4,6.4,20.0,-,"10,279"
2024-10,FHV - Livery,"28,153",-,"9,342","9,185","4,989",16.8,4.4,16.9,4.3,21.0,-,-
2024-10,FHV - Lux Limo,"1,296",-,"1,737","1,658",598,11.2,2.1,11.1,2.0,67.0,-,-
2024-10,Green,"1,807","40,528",719,686,403,18.2,3.6,17.5,3.6,15.1,73%,-
2024-10,Yellow,"122,312","3,052,707","12,919","9,389","8,405",27.8,8.5,23.7,7.3,17.3,84%,-
2024-09,FHV - Black Car,"27,289",-,"11,523","11,095","4,640",12.5,4.6,12.5,4.5,29.0,-,-
2024-09,FHV - High Volume,"640,325",-,"82,503","81,572","57,601",21.2,6.5,21.3,6.4,21.0,-,"11,800"
2024-09,FHV - Livery,"30,549",-,"9,225","9,090","5,231",17.3,4.5,17.3,4.4,21.0,-,-
2024-09,FHV - Lux Limo,"1,187",-,"1,692","1,634",573,10.5,2.1,10.5,2.0,70.0,-,-
2024-09,Green,"1,794","42,969",716,685,402,17.6,3.6,17.0,3.6,15.8,73%,-
2024-09,Yellow,"119,900","3,020,448","12,601","9,254","8,162",26.5,8.5,22.5,7.3,17.7,84%,-
2024-08,FHV - Black Car,"21,776",-,"9,988","10,071","3,957",12.2,4.4,12.3,4.4,26.0,-,-
2024-08,FHV - High Volume,"617,043",-,"81,306","80,570","55,030",21.2,6.3,21.3,6.3,19.0,-,"10,185"
2024-08,FHV - Livery,"30,698",-,"10,031","9,909","5,420",17.0,4.4,17.1,4.4,20.0,-,-
2024-08,FHV - Lux Limo,791,-,"1,379","1,345",446,10.3,1.8,10.3,1.7,68.0,-,-
2024-08,Green,"1,653","38,597",728,694,394,17.6,3.5,17.0,3.4,14.9,72%,-
2024-08,Yellow,"94,731","2,360,630","12,276","9,125","7,822",26.6,7.6,22.6,6.6,16.2,81%,-
2024-07,FHV - Black Car,"18,245",-,"7,568","7,139","2,796",12.1,5.0,12.1,4.7,26.0,-,-
2024-07,FHV - High Volume,"618,802",-,"82,125","81,319","56,458",21.5,6.2,21.6,6.1,19.0,-,"9,126"
2024-07,FHV - Livery,"27,616",-,"7,063","6,934","4,119",18.4,5.0,18.5,4.9,19.0,-,-
2024-07,FHV - Lux Limo,876,-,"1,431","1,356",470,10.7,1.9,10.5,1.8,69.0,-,-
2024-07,Green,"1,658","36,958",747,712,394,17.2,3.5,16.6,3.4,14.6,72%,-
2024-07,Yellow,"97,929","2,423,487","12,353","9,144","7,779",26.4,7.7,22.4,6.7,16.1,82%,-
2024-06,FHV - Black Car,"23,020",-,"8,206","7,826","3,646",14.0,4.9,14.0,4.6,27.0,-,-
2024-06,FHV - High Volume,"670,772",-,"83,794","82,824","58,798",21.3,6.5,21.4,6.4,20.0,-,"9,431"
2024-06,FHV - Livery,"24,815",-,"7,686","7,553","3,950",15.7,4.7,15.7,4.6,22.0,-,-
2024-06,FHV - Lux Limo,"1,119",-,"1,608","1,560",560,10.8,2.0,10.8,1.9,68.0,-,-
2024-06,Green,"1,805","40,375",750,713,399,16.8,3.6,16.2,3.6,15.0,72%,-
2024-06,Yellow,"116,772","2,877,406","12,538","9,146","7,945",26.1,8.4,21.9,7.2,16.6,84%,-
2024-05,FHV - Black Car,"22,986",-,"8,296","7,790","3,556",14.2,5.0,14.1,4.7,28.0,-,-
2024-05,FHV - High Volume,"667,886",-,"84,900","83,944","60,900",22.5,6.5,22.6,6.4,21.0,-,"9,160"
2024-05,FHV - Livery,"26,747",-,"7,921","7,759","4,403",17.6,4.6,17.6,4.5,21.0,-,-
2024-05,FHV - Lux Limo,"1,216",-,"1,649","1,570",595,11.8,2.0,11.6,2.0,70.0,-,-
2024-05,Green,"1,946","42,958",752,719,424,18.3,3.7,17.7,3.6,15.3,72%,-
2024-05,Yellow,"118,819","2,971,875","12,487","9,121","8,052",27.4,8.4,23.2,7.3,17.0,83%,-
2024-04,FHV - Black Car,"24,956",-,"8,596","8,069","3,885",14.4,4.9,14.3,4.7,27.0,-,-
2024-04,FHV - High Volume,"657,765",-,"84,517","83,683","59,194",21.2,6.4,21.4,6.3,19.0,-,"9,034"
2024-04,FHV - Livery,"25,928",-,"7,698","7,536","4,263",17.0,4.6,17.0,4.5,21.0,-,-
2024-04,FHV - Lux Limo,"1,243",-,"1,648","1,603",624,11.7,2.0,11.8,1.9,65.0,-,-
2024-04,Green,"1,879","39,453",734,713,405,17.1,3.6,16.8,3.6,14.3,72%,-
2024-04,Yellow,"115,813","2,803,037","12,242","9,050","7,823",25.9,8.3,22.0,7.2,16.0,84%,-
2024-03,FHV - Black Car,"23,411",-,"8,128","7,651","3,632",14.7,4.9,14.6,4.6,26.0,-,-
2024-03,FHV - High Volume,"686,479",-,"84,901","83,966","60,502",22.3,6.5,22.5,6.4,19.0,-,"9,337"
2024-03,FHV - Livery,"28,495",-,"8,294","8,097","4,746",18.2,4.5,18.2,4.5,20.0,-,-
2024-03,FHV - Lux Limo,"1,460",-,"2,042","1,931",732,11.8,2.0,11.5,1.9,59.0,-,-
2024-03,Green,"1,853","38,304",786,750,418,17.3,3.5,16.7,3.5,14.2,70%,-
2024-03,Yellow,"114,353","2,731,140","12,020","8,920","7,698",26.8,8.4,22.9,7.2,15.6,84%,-
2024-02,FHV - Black Car,"22,633",-,"8,010","7,531","3,598",13.9,4.7,13.7,4.5,25.0,-,-
2024-02,FHV - High Volume,"667,560",-,"84,133","83,713","59,104",20.5,6.5,20.7,6.4,19.0,-,"8,667"
2024-02,FHV - Livery,"27,099",-,"8,163","8,047","4,580",16.5,4.5,16.6,4.4,19.0,-,-
2024-02,FHV - Lux Limo,"1,519",-,"2,062","2,000",768,11.1,2.0,11.2,1.9,59.0,-,-
2024-02,Green,"1,847","37,789",800,769,419,15.8,3.5,15.4,3.5,14.0,71%,-
2024-02,Yellow,"102,708","2,389,780","11,739","8,805","7,449",24.5,8.1,21.1,7.0,14.9,83%,-
